id,should_trigger,prompt
trigger-01,true,"使用 python-best-practices 审查这个模块，重点看异常、资源生命周期和可维护性"
trigger-02,true,"把这段能运行但嵌套很深的 Python 代码重构得更清晰，保持行为不变"
trigger-03,true,"设计一个读取配置、校验输入并生成结果文件的现代 Python 模块"
trigger-04,true,"修复这里的可变默认参数、导入时副作用和隐藏全局状态"
trigger-05,true,"这个 Python API 有很多布尔参数和不稳定返回值，帮我重新设计"
trigger-06,true,"将文件处理重构为 pathlib、上下文管理器和安全写入"
trigger-07,true,"审查这段 asyncio 代码的任务所有权、超时、取消和阻塞调用"
trigger-08,true,"改进这个 Python 库的日志设计，避免重复记录异常和泄露密钥"
trigger-09,true,"这些字典、类和继承关系应该如何用 dataclass、枚举和组合重新建模"
trigger-10,true,"审查外部命令、临时文件和用户输入处理是否符合 Python 最佳实践"
no-trigger-01,false,"为所有函数补充严格类型注解并消除 Any"
no-trigger-02,false,"设计一个带 ParamSpec 的类型安全装饰器"
no-trigger-03,false,"用 uv 初始化 Python 项目并管理依赖"
no-trigger-04,false,"配置 ruff 的格式化和 lint 规则"
no-trigger-05,false,"为 ty、mypy 或 pyright 配置严格模式"
no-trigger-06,false,"设计 pytest fixture 和测试目录结构"
no-trigger-07,false,"只给这个函数补一段 Google 风格 docstring"
no-trigger-08,false,"为 Python 包编写发布到 PyPI 的流水线"
no-trigger-09,false,"根据这些改动生成 Git commit message"
no-trigger-10,false,"解释 Python 的 GIL 是什么，不需要修改代码"
