id,should_trigger,prompt
trigger-01,true,"使用 python-strong-typing 为这个 Python 3.13 模块建立严格类型"
trigger-02,true,"审查这段代码里的 Protocol、TypedDict 和 NewType 是否建模正确"
trigger-03,true,"把 json.loads 后直接 cast 的实现改成类型安全的边界解析"
trigger-04,true,"这个装饰器如何保留被包装函数的参数和返回类型"
trigger-05,true,"消除这里的 Any、cast 和 type ignore，但不要改变运行时行为"
trigger-06,true,"这个函数根据 mode 返回不同类型，应该使用泛型、Literal 还是 overload"
trigger-07,true,"为这个状态联合补上可靠收窄和穷尽性检查"
trigger-08,true,"给现有 Python 3.12 库设计严格且稳定的公共类型 API"
trigger-09,true,"修复这个子类覆盖方法的类型不安全问题并使用 override"
trigger-10,true,"把动态字典载荷建模为合适的 TypedDict、领域类或解析结果"
no-trigger-01,false,"重构这段 Python 代码的异常处理和资源生命周期"
no-trigger-02,false,"将文件路径代码改为 pathlib 并使用上下文管理器"
no-trigger-03,false,"设计 asyncio TaskGroup、超时和取消策略"
no-trigger-04,false,"改进 Python 库的日志结构并避免泄露密钥"
no-trigger-05,false,"用 uv 初始化 Python 3.14 项目"
no-trigger-06,false,"配置 ruff 的 lint 和 format 规则"
no-trigger-07,false,"配置 ty、mypy 或 pyright 的严格模式"
no-trigger-08,false,"设计 pytest fixture 和测试目录"
no-trigger-09,false,"优化这个循环的运行性能和内存占用"
no-trigger-10,false,"给 Python 函数补充注释和 docstring"
